src,tgt,current_line,New Line,Line,abs_src_Length,abs_src_MaxDepDepth,abs_src_MaxDepLength,abs_src_DiffWords,abs_src_Leven,abs_src_WordCount,abs_tgt_Length,abs_tgt_MaxDepDepth,abs_tgt_MaxDepLength,abs_tgt_DiffWords,abs_tgt_Leven,abs_tgt_WordCount,Length_ratio,MaxDepDepth_ratio,MaxDepLength_ratio,DiffWords_ratio,Leven_ratio,WordCount_ratio,abs_src_FreqRank,abs_tgt_FreqRank,FreqRank_ratio,abs_src_FKGL_Grade,abs_tgt_FKGL_Grade,FKGL_Grade_ratio,abs_src_ARI_Grade,abs_tgt_ARI_Grade,ARI_Grade_ratio,similarity,label,"(2, 'label')","(3, 'label')","(4, 'label')","(5, 'label')","(6, 'label')","(7, 'label')","(8, 'label')","(2, 'label').1","(3, 'label').1","(4, 'label').1","(5, 'label').1","(6, 'label').1"
"In 2006, The Bats song ""Not My Girl Anymore"" appeared in the soundtrack of the Movie ""Nail Polish"" which also featured songs from The Cars, Joan Jett and Elvis Costello.","""Not My Girl Anymore"" - 3:15",122302,123269,238824,169.0,10.0,12.0,5.0,0.23,30.0,28.0,2.0,3.0,1.0,0.23,6.0,0.17,0.2,0.25,0.2,0.23,0.2,9.31,10.95,1.18,10,0,0.0,14,3,0.21,0.5328987836837769,0,1,1,1,1,0,1,1,1,1,1,1,0
Hurricane Vince was an unusual hurricane which developed in the northeastern Atlantic basin.,Hurricane Vince was an unusual hurricane that began in the northeast Atlantic Ocean.,48959,49351,43669,92.0,5.0,4.0,5.0,0.84,13.0,84.0,5.0,4.0,4.0,0.84,13.0,0.91,1.0,1.0,0.8,0.84,1.0,9.45,9.25,0.98,11,10,0.91,14,11,0.79,0.9357823729515076,1,1,1,1,1,0,1,1,1,1,1,1,0
"Air traffic controllers heard Atta announce, ""We have some planes, just stay quiet and you'll be okay.","He said that ""(They) have some planes, just stay quiet and you'll be okay.",182424,183874,73356,102.0,3.0,10.0,4.0,0.74,17.0,74.0,3.0,10.0,0.0,0.74,14.0,0.73,1.0,1.0,0.12,0.74,0.82,8.72,7.64,0.88,6,3,0.5,11,6,0.55,0.7017338275909424,1,1,1,1,1,0,1,1,1,1,1,1,0
The city was initially founded between 1771 and 1776 but was soon after abandoned during the War of Independence.,"The city was initially founded between 1771 and 1776 with some families that came from Monte Cristi. During the Dominican War of Independence, the city was abandoned and it was burned several times by the Haitian army.",94125,94871,139417,113.0,6.0,6.0,4.0,0.59,19.0,108.5,6.0,10.0,6.0,0.59,18.5,0.96,1.0,1.67,1.5,0.59,0.97,8.31,8.97,1.08,10,8,0.8,12,11,0.92,0.7645412087440491,1,1,1,1,1,0,1,1,1,1,1,1,0
"James Henry Scullin (18 September 1876 28 January 1953), Australian Labor politician and ninth Prime Minister of Australia.",James Henry Scullin (18 September 1876 - 28 January 1953) was the ninth Prime Minister of Australia from October 1929 until January 1932.,60683,61180,253307,123.0,4.0,12.0,6.0,0.72,18.0,137.0,5.0,10.0,3.0,0.72,23.0,1.11,1.25,0.83,0.5,0.72,1.28,8.5,7.98,0.94,10,12,1.2,14,14,1.0,0.8847991824150085,1,1,1,1,1,0,1,1,1,1,1,1,0
"Barnsdall is a city in Osage County, Oklahoma, United States.",Barnsdall is a city of Oklahoma in the United States.,174363,175744,17971,61.0,6.0,3.0,3.0,0.79,10.0,53.0,4.0,3.0,2.0,0.79,10.0,0.87,0.67,1.0,0.67,0.79,1.0,9.63,8.44,0.88,7,5,0.71,8,4,0.5,0.7902481555938721,1,1,1,1,1,0,1,1,1,1,1,1,0
"Libbie Hyman named them Rhynchocoela, a name used primarily in North America but gradually abandoned since the 1980s.",They are distinguished by the presence of an eversible proboscis.,10983,11074,276476,117.0,6.0,13.0,6.0,0.36,18.0,65.0,5.0,3.0,4.0,0.36,10.0,0.56,0.83,0.23,0.67,0.36,0.56,8.82,11.65,1.32,12,7,0.58,14,10,0.71,0.3699455857276916,0,1,1,1,1,0,1,1,1,1,1,1,0
"Margherita encouraged artists and writers and founded cultural institutions, notably the Società del Quartetto, and the Casa di Dante.","Margherita supported artists and writers, and the Red Cross, and founded cultural institutions, like the Società del Quartetto, and the Casa di Dante.",102608,103429,237152,134.0,3.0,19.0,9.0,0.86,19.0,150.0,4.0,25.0,8.0,0.86,23.0,1.12,1.33,1.32,0.89,0.86,1.21,9.75,9.56,0.98,13,12,0.92,14,14,1.0,0.9359970092773438,1,1,1,1,1,0,1,1,1,1,1,1,0
The mature males appear ox-like and are also known as blue bulls.,The mature males appear ox-like and are also known as Blue bulls.,29850,30086,143632,65.0,4.0,7.0,1.0,0.98,12.0,65.0,4.0,7.0,1.0,0.98,12.0,1.0,1.0,1.0,1.0,0.98,1.0,8.66,8.66,1.0,4,4,1.0,6,6,1.0,0.9919464588165284,1,1,1,1,1,0,1,1,1,1,1,1,0
"The Texaco Cup was an association football competition involving clubs from England, Ireland and Scotland that had not qualified for European competitions.","Finals played over two legs except 1973-74, aggregate score given.",11480,11574,216478,155.0,7.0,16.0,10.0,0.28,22.0,66.0,4.0,10.0,2.0,0.28,10.0,0.43,0.57,0.62,0.2,0.28,0.45,8.25,8.32,1.01,13,6,0.46,14,10,0.71,0.4569328725337982,0,1,1,1,1,0,1,1,1,1,1,1,0
"Bihor (;) is a county (jude) of Romania, in Cri ana, with capital city at Oradea.","Bihor (), in Hungarian: Bihar (), is a county (jude) of Romania, in Cri ana.",169538,170879,34446,81.0,5.0,11.0,2.0,0.65,16.0,76.0,4.0,11.0,4.0,0.65,15.0,0.94,0.8,1.0,2.0,0.65,0.94,12.29,12.22,0.99,7,8,1.14,7,8,1.14,0.8968637585639954,1,1,1,1,1,0,1,1,1,1,1,1,0
Sayyed Though they are not big in numbers they are an active people and occupy important positions in all sectors.,Though they are not big in numbers but occupy important positions in all sectors.,215697,217381,4956,114.0,5.0,9.0,5.0,0.81,20.0,81.0,5.0,6.0,4.0,0.81,14.0,0.71,1.0,0.67,0.8,0.81,0.7,8.71,8.47,0.97,10,9,0.9,11,8,0.73,0.9283927083015442,1,1,1,1,1,0,1,1,1,1,1,1,0
Île d'Yeu is an island and commune just off the Vendée coast of western France.,Île d &#39; Yeu is a commune.,66360,66902,268495,79.0,6.0,4.0,1.0,0.41,15.0,29.0,3.0,6.0,1.0,0.41,7.0,0.37,0.5,1.5,1.0,0.41,0.47,11.38,12.19,1.07,4,0,0.0,6,0,0.0,0.4847536087036133,1,1,1,1,1,0,1,1,1,1,1,1,0
Fos-sur-Mer is a commune in the Bouches-du-Rhône department in southern France.,It is found in the region Provence-Alpes-Côte d'Azur in the Bouches-du-Rhône department in the south of France.,25482,25684,246435,79.0,6.0,7.0,3.0,0.64,11.0,111.0,6.0,10.0,3.0,0.64,17.0,1.41,1.0,1.43,1.0,0.64,1.55,11.01,11.11,1.01,8,6,0.75,14,13,0.93,0.9319603443145752,1,1,1,1,1,0,1,1,1,1,1,1,0
"This can often cause little to get done by sufferers, and they can have little self motivation with anything, including relationships with other people.",Motivation People with BDD may often have little motivation for anything.,107785,108646,132434,152.0,7.0,11.0,4.0,0.46,24.0,73.0,3.0,5.0,1.0,0.46,11.0,0.48,0.43,0.45,0.25,0.46,0.46,7.5,9.24,1.23,13,11,0.85,14,11,0.79,0.688507616519928,1,1,1,1,1,0,1,1,1,1,1,1,0
Alberigo Evani (born January 1 1963) is an Italian former football (soccer) player in midfielder role.,"Alberigo Evani (born 1 January, 1963) is a former Italian football player.",46042,46404,47140,102.0,5.0,7.0,5.0,0.73,16.0,74.0,4.0,8.0,3.0,0.73,12.0,0.73,0.8,1.14,0.6,0.73,0.75,9.03,9.19,1.02,11,9,0.82,12,9,0.75,0.8866260647773743,1,1,1,1,1,0,1,1,1,1,1,1,0
